rodamina_526nm		rodamina_450nm		rodamina_480nm		rodamina_510nm		rodamina_530nm		rodamina_520nm		rodamina_510nm		rodamina_460nm	
Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)
626.9099731	76.1424408	551.9400024	90.9216156	582.0499878	142.8529205	602.0499878	118.6345825	632.0200195	58.34697342	622.0499878	87.17617035	612.0200195	108.4488754	562.0499878	120.2194214
627.9400024	72.94626617	552.9799805	91.00962067	582.9400024	137.3556976	602.9400024	114.35495	633.039978	56.05600357	622.9400024	84.3113327	613.039978	102.6259766	562.9400024	117.4256897
628.9699707	69.34329224	554.0200195	92.32515717	583.9699707	133.0019989	603.9699707	110.2548218	634.0499878	53.27009964	623.9699707	80.45301819	614.0499878	99.13636017	563.9699707	112.6227341
629.8499756	66.83298492	555.0700073	91.03199768	585	127.8424225	605	106.1807861	635.0700073	51.21805191	625	77.07615662	615.0700073	95.77042389	565	110.4406967
630.8599854	63.41508102	555.9699707	90.21127319	586.0200195	123.6171646	606.0200195	101.7620926	635.9400024	49.59080505	626.0200195	72.83126831	615.9400024	91.70864868	566.0200195	106.713501
631.8800049	60.46685791	557.0100098	89.95696259	587.0499878	119.7964325	607.0499878	97.41683197	636.9500122	47.35503769	627.0499878	70.66810608	616.9500122	87.54155731	567.0499878	101.9683151
632.8900146	57.3025856	558.0499878	90.05142975	587.9400024	116.546936	607.9400024	94.81833649	637.9699707	44.86244583	627.9400024	66.75254059	617.9699707	82.74124908	567.9400024	99.5485611
633.9099731	54.83005142	558.9500122	87.66835785	588.9699707	113.8934708	608.9699707	90.64051056	638.9799805	43.11064911	628.9699707	64.29528046	618.9799805	79.39802551	568.9699707	95.05310822
634.9199829	51.84630203	560	85.67990112	590	108.8993988	610	87.57906342	640	41.23788452	630	61.52466965	620	75.48323822	570	91.63655853
635.9400024	50.45261765	561.0200195	83.86070251	591.0200195	104.7700195	611.0100098	84.01703644	641.0100098	38.96566391	631.0100098	58.92141342	621.0200195	71.88345337	571.039978	87.81972504
636.9500122	48.0606041	562.0499878	82.60507965	592.0499878	101.8977966	612.0200195	80.98001862	642.0200195	37.31206894	632.0200195	55.61752319	622.0499878	69.48387146	571.9400024	84.75457764
637.9699707	45.72164536	562.9400024	79.97634125	592.9400024	98.71517181	613.039978	77.53128052	643.039978	36.10257339	633.039978	53.53655243	622.9400024	66.71820068	572.9799805	81.69753265
638.8400269	44.12701416	563.9699707	77.49617004	593.9699707	95.18115234	614.0499878	74.48312378	644.0499878	34.74182892	634.0499878	50.85688782	623.9699707	63.9539566	574.0200195	78.58673096
639.8499756	42.03813934	565	73.95663452	595	92.66374207	615.0700073	71.144104	645.0700073	33.17298126	635.0700073	48.57513046	625	60.51183701	575.0700073	75.12025452
640.8599854	39.9457283	566.0200195	73.51387787	596.0200195	89.25318909	615.9400024	69.52544403	645.9400024	31.91836929	635.9400024	46.50902557	626.0200195	58.04770279	575.9699707	72.21024323
641.8800049	38.15141296	567.0499878	70.00635529	597.0499878	85.64492798	616.9500122	65.90401459	646.9500122	30.24838638	636.9500122	44.56980515	627.0499878	55.31638336	577.0100098	69.4774704
642.8900146	36.96823502	567.9400024	67.12137604	597.9400024	83.9857254	617.9699707	62.14829636	647.9699707	28.75121689	637.9699707	42.64840698	627.9400024	53.31838989	578.0499878	66.3164444
643.9099731	35.14387131	568.9699707	65.5832901	598.9699707	81.27229309	618.9799805	59.77074051	648.9799805	27.61385918	638.9799805	40.55933762	628.9699707	51.09579849	578.9500122	64.69231415
644.9199829	33.77822876	570	63.09072113	600	78.56183624	620	58.11959076	650	26.78502655	640	38.87060928	630	47.91250229	580	61.5312233
645.9400024	32.20748138	571.039978	60.2159462	601.0200195	76.36092377	621.0200195	54.96762085			641.0100098	37.09282684	631.0100098	46.75810242	581.0200195	59.37715149
646.9500122	31.08079147	571.9400024	58.15423584	602.0499878	72.87607574	622.0499878	52.55266953			642.0200195	35.60330963	632.0200195	44.36015701	582.0499878	57.90827179
647.9699707	29.76062775	572.9799805	55.38768005	602.9400024	70.9341507	622.9400024	51.05969238			643.039978	33.52320862	633.039978	41.81546402	582.9400024	55.86185455
648.8400269	28.34882164	574.0200195	53.71629715	603.9699707	68.62014771	623.9699707	48.59745407			644.0499878	32.32510757	634.0499878	40.47360229	583.9699707	53.22220612
