485 V,,510 V,,535 V,,560 V,,585 V,,610 V,,635 V,,660 V,,685 V,,700 V,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
596.9099731,6.54498148,596.9099731,10.63961411,596.9099731,18.27827454,596.9099731,27.79669762,596.9099731,41.4799118,596.9099731,64.50668335,596.9099731,92.20211792,596.9099731,127.7197037,596.9099731,190.842804,596.9099731,230.0598602,
597.9400024,6.558401108,597.9400024,10.28889561,597.9400024,17.9915638,597.9400024,26.73399162,597.9400024,40.44132996,597.9400024,61.63500977,597.9400024,88.8580246,597.9400024,123.9275513,597.9400024,183.2249146,597.9400024,225.1008453,
598.9699707,5.973424435,598.9699707,9.974155426,598.9699707,17.10802841,598.9699707,25.7593689,598.9699707,39.03314972,598.9699707,60.94009781,598.9699707,86.48167419,598.9699707,120.9000244,598.9699707,178.8409119,598.9699707,214.4099884,
599.8499756,6.111473083,599.8499756,9.652747154,599.8499756,16.60941505,599.8499756,25.25435448,599.8499756,37.96469498,599.8499756,58.18181992,599.8499756,83.6374054,599.8499756,118.4028625,599.8499756,175.4526215,599.8499756,210.7171173,
600.8800049,5.696983814,600.8800049,9.322865486,600.8800049,16.0818119,600.8800049,24.69330597,600.8800049,36.52859879,600.8800049,56.64833832,600.8800049,81.22241974,600.8800049,113.3818588,600.8800049,166.6531525,600.8800049,202.0173035,
601.9099731,5.468358517,601.9099731,8.959781647,601.9099731,15.65155602,601.9099731,23.83799744,601.9099731,35.67186737,601.9099731,55.01922607,601.9099731,77.05403137,601.9099731,109.8637619,601.9099731,161.0953217,601.9099731,196.7219849,
602.9400024,5.316718578,602.9400024,8.494085312,602.9400024,15.22014141,602.9400024,23.03964424,602.9400024,34.04169083,602.9400024,52.15134811,602.9400024,75.62854767,602.9400024,104.7634506,602.9400024,158.8134003,602.9400024,191.1070709,
603.9699707,4.90196085,603.9699707,8.366501808,603.9699707,14.08450699,603.9699707,21.89897728,603.9699707,32.77822876,603.9699707,50.90954208,603.9699707,72.91666412,603.9699707,101.7127533,603.9699707,153.1979828,603.9699707,181.766037,
604.8499756,5.039239883,604.8499756,8.161366463,604.8499756,13.66797161,604.8499756,21.30102539,604.8499756,31.68985558,604.8499756,48.04977036,604.8499756,69.85653687,604.8499756,98.23439789,604.8499756,145.2859344,604.8499756,175.6679382,
605.8800049,4.536374092,605.8800049,7.726901054,605.8800049,13.17331409,605.8800049,20.53774261,605.8800049,30.97888184,605.8800049,46.81867599,605.8800049,66.94006348,605.8800049,93.49143219,605.8800049,140.1701202,605.8800049,170.0200806,
606.9099731,4.68081665,606.9099731,7.493550301,606.9099731,13.03755569,606.9099731,19.79653549,606.9099731,29.04276848,606.9099731,44.65849304,606.9099731,65.02629089,606.9099731,90.62175751,606.9099731,134.9490509,606.9099731,164.3978729,
607.9400024,4.631927013,607.9400024,7.275217056,607.9400024,12.41873646,607.9400024,18.62553596,607.9400024,28.64500809,607.9400024,43.99119186,607.9400024,62.63005829,607.9400024,88.42021179,607.9400024,131.3854218,607.9400024,158.1751404,
608.9699707,4.144137383,608.9699707,7.300694942,608.9699707,12.04819202,608.9699707,17.83175659,608.9699707,26.92401314,608.9699707,42.44075012,608.9699707,59.96646118,608.9699707,85.27828217,608.9699707,124.5784378,608.9699707,150.6877594,
609.8499756,4.132733822,609.8499756,6.496593475,609.8499756,11.56812382,609.8499756,17.58978844,609.8499756,25.90404701,609.8499756,40.68252182,609.8499756,56.87428284,609.8499756,81.17485046,609.8499756,120.7568665,609.8499756,144.0935059,
610.8599854,4.058732033,610.8599854,6.428826809,610.8599854,10.70751953,610.8599854,17.20154953,610.8599854,24.7916584,610.8599854,39.08723831,610.8599854,55.88082886,610.8599854,79.25647736,610.8599854,116.7927246,610.8599854,138.9362488,
611.8800049,3.86648798,611.8800049,6.381775856,611.8800049,10.49331093,611.8800049,16.26084709,611.8800049,24.48489761,611.8800049,37.1973381,611.8800049,53.02455521,611.8800049,74.77194214,611.8800049,112.0282974,611.8800049,133.7325287,
612.8900146,3.64014554,612.8900146,6.052559853,612.8900146,9.937173843,612.8900146,15.31860352,612.8900146,23.30314064,612.8900146,35.7142868,612.8900146,51.2106514,612.8900146,72.42350769,612.8900146,108.4599533,612.8900146,128.6475525,
613.9099731,3.49019146,613.9099731,5.700558186,613.9099731,9.809555054,613.9099731,14.92416954,613.9099731,21.81654358,613.9099731,33.67633438,613.9099731,49.19286728,613.9099731,68.54001617,613.9099731,102.2080002,613.9099731,124.8247986,
614.9199829,3.503308535,614.9199829,5.745521069,614.9199829,9.570971489,614.9199829,14.06193638,614.9199829,21.18798256,614.9199829,32.66968536,614.9199829,46.38071823,614.9199829,66.24275208,614.9199829,96.59269714,614.9199829,117.8765259,
615.9400024,3.479860783,615.9400024,5.148983002,615.9400024,8.920207024,615.9400024,13.80316925,615.9400024,20.50359726,615.9400024,31.44497108,615.9400024,44.69430161,615.9400024,63.98009491,615.9400024,94.19676971,615.9400024,113.8221436,
616.9500122,2.837224483,616.9500122,4.747699261,616.9500122,8.547750473,616.9500122,13.16059208,616.9500122,19.47688293,616.9500122,29.93766403,616.9500122,43.13092804,616.9500122,61.16560745,616.9500122,90.93844604,616.9500122,108.8853989,
617.9699707,2.973448277,617.9699707,5.047788143,617.9699707,8.1635952,617.9699707,12.41106033,617.9699707,18.60734367,617.9699707,28.44440842,617.9699707,41.28799438,617.9699707,58.05615234,617.9699707,86.20825195,617.9699707,104.5874557,
618.8400269,2.671818495,618.8400269,4.65610218,618.8400269,8.012225151,618.8400269,11.96070004,618.8400269,17.64206886,618.8400269,27.7994175,618.8400269,39.32157135,618.8400269,56.07661438,618.8400269,81.69773865,618.8400269,99.79980469,
619.8499756,2.693792105,619.8499756,4.618277073,619.8499756,7.769945621,619.8499756,11.29143238,619.8499756,17.41827583,619.8499756,26.05534172,619.8499756,37.96759415,619.8499756,53.40427017,619.8499756,78.48427582,619.8499756,93.66861725,
620.8800049,2.539810419,620.8800049,4.103535175,620.8800049,7.075853348,620.8800049,10.94905567,620.8800049,16.16186905,620.8800049,24.56597328,620.8800049,36.62107468,620.8800049,51.23717117,620.8800049,75.43252563,620.8800049,91.00058746,
621.9099731,2.47663188,621.9099731,4.272298336,621.9099731,6.822148323,621.9099731,10.31546116,621.9099731,15.43718529,621.9099731,24.45963669,621.9099731,34.40465546,621.9099731,48.46589661,621.9099731,70.59736633,621.9099731,86.00884247,
622.9400024,2.243432999,622.9400024,3.713790655,622.9400024,6.294891357,622.9400024,10.03224659,622.9400024,14.82770061,622.9400024,23.03853035,622.9400024,32.59701538,622.9400024,46.60531616,622.9400024,67.3215332,622.9400024,83.75686646,
623.9699707,2.303010225,623.9699707,3.582458258,623.9699707,6.349617481,623.9699707,9.133922577,623.9699707,13.95888329,623.9699707,22.18840027,623.9699707,31.59723854,623.9699707,44.67166901,623.9699707,66.4517746,623.9699707,80.93061829,
624.8499756,2.27975893,624.8499756,3.518794537,624.8499756,5.952863216,624.8499756,9.400943756,624.8499756,13.54238033,624.8499756,21.45214653,624.8499756,30.32297897,624.8499756,42.86274719,624.8499756,62.83372498,624.8499756,74.69889832,
625.8800049,1.969150066,625.8800049,3.255018234,625.8800049,5.665153503,625.8800049,8.609402657,625.8800049,12.76422787,625.8800049,19.37280655,625.8800049,28.53143311,625.8800049,40.86956406,625.8800049,61.22801208,625.8800049,72.82739258,
626.9099731,1.982200623,626.9099731,3.313832283,626.9099731,5.186806202,626.9099731,8.139253616,626.9099731,11.9772892,626.9099731,19.30248642,626.9099731,27.53879929,626.9099731,38.75147247,626.9099731,57.2733078,626.9099731,69.51937866,
627.9400024,1.929570675,627.9400024,3.021391392,627.9400024,5.044843197,627.9400024,8.24844265,627.9400024,11.76800251,627.9400024,18.11637115,627.9400024,26.3073597,627.9400024,36.99634933,627.9400024,54.18962097,627.9400024,64.62313843,
628.9699707,1.434073567,628.9699707,2.653949976,628.9699707,4.734158993,628.9699707,7.321239948,628.9699707,11.17470646,628.9699707,17.53552628,628.9699707,24.80038643,628.9699707,34.98383331,628.9699707,51.97317123,628.9699707,63.74468613,
